Coordinates;Coordinates.x1;Coordinates.x2;Coordinates.y1;Coordinates.y2;Coordinates.z1;Coordinates.z2;Coordinates.PositionUp;Coordinates.PositionDown;Coordinates.label;Coordinates.posUpDown;Coordinates.type;Coordinates.additionalInfos;Coordinates.View;Coordinates.ShowDimension
Klimor.WebApi.DXF.Structures.Coordinates;2450;2455;2290;4190;50;3650;1;0;Hole;"";Hole;Klimor.WebApi.DXF.Structures.AdditionalInfo;"";True
Klimor.WebApi.DXF.Structures.Coordinates;50;1300;170;2070;3700;3705;0;1;Hole;"";Hole;Klimor.WebApi.DXF.Structures.AdditionalInfo;"";True
Klimor.WebApi.DXF.Structures.Coordinates;10370;10375;2205;4105;50;3650;5;6;Hole;"";Hole;Klimor.WebApi.DXF.Structures.AdditionalInfo;"";True
Klimor.WebApi.DXF.Structures.Coordinates;1400;1500;1333;1433;-1;-1;0;0;icon_emptysection;"Icon: ES";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;1400;1500;1333;1433;3701;3701;0;0;icon_emptysection;"Icon: ES";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;1400;1500;2121;2121;1800;1900;0;0;icon_emptysection;"Icon: ES";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Up;True
Klimor.WebApi.DXF.Structures.Coordinates;3000;3100;1333;1433;-1;-1;0;0;icon_emptysection;"Icon: ES";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;3000;3100;1333;1433;3701;3701;0;0;icon_emptysection;"Icon: ES";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;3000;3100;2121;2121;1800;1900;0;0;icon_emptysection;"Icon: ES";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Up;True
Klimor.WebApi.DXF.Structures.Coordinates;3350;3450;1333;1433;-1;-1;0;0;icon_filter;"Icon: PF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;3350;3450;1333;1433;3701;3701;0;0;icon_filter;"Icon: PF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;3350;3450;2121;2121;1800;1900;0;0;icon_filter;"Icon: PF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Up;True
Klimor.WebApi.DXF.Structures.Coordinates;3950;4050;1333;1433;-1;-1;0;0;icon_silencer;"Icon: SL";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;3950;4050;1333;1433;3701;3701;0;0;icon_silencer;"Icon: SL";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;3950;4050;2121;2121;1800;1900;0;0;icon_silencer;"Icon: SL";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Up;True
Klimor.WebApi.DXF.Structures.Coordinates;5200;5300;1333;1433;-1;-1;0;0;icon_fan;"Icon: VF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;5200;5300;1333;1433;3701;3701;0;0;icon_fan;"Icon: VF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;5200;5300;2121;2121;1800;1900;0;0;icon_fan;"Icon: VF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Up;True
Klimor.WebApi.DXF.Structures.Coordinates;10995;11095;1333;1433;-1;-1;0;0;icon_emptysection;"Icon: ES";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
Klimor.WebApi.DXF.Structures.Coordinates;10995;11095;1333;1433;3701;3701;0;0;icon_emptysection;"Icon: ES";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Back;True
Klimor.WebApi.DXF.Structures.Coordinates;10995;11095;2121;2121;1800;1900;0;0;icon_emptysection;"Icon: ES";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Up;True
Klimor.WebApi.DXF.Structures.Coordinates;2700;2800;2907;3007;-1;-1;0;0;icon_filter;"Icon: SF";Icon;Klimor.WebApi.DXF.Structures.AdditionalInfo;Operational;True
